ID,Name,Definition,Conception,Planning,Execution,Minimum Standard of Care,Labels
650a16a70784117866ea507a,"Charity, Community Service, and Good Deeds","You want to give back to your community, religious institution, your kids’ schools, or whatever causes are meaningful to you or to others who ask for your support. This cardholder is generous with his or her time (making the meatloaf for the neighborhood meal train) and also your family’s money, so don’t forget to consult the “money manager” before making pledges at the annual school fundraiser you can’t afford.",CHARITY & GOOD DEEDS (ADULT),- Researching charities,- Making donations- Volunteering- Collecting donations for food banks/Serving on charity boards- Meal trains and other community support- Visiting the sick,Do both partners feel good about your contributions to your community/greater world?,""
650a171416406a0f89e9a32f,Childcare Helpers (Kids),"It takes a village, and you’re fortunate if your village includes a nanny, babysitter, family caregivers, or others who pitch in with the kids. It can be a lifesaver to have the help, but it still requires someone to Conceive and Plan before Nanny Poppins or Grandma Shirley shows up to help Execute. They don’t magically appear when you want them to, so schedules need to be managed, along with payment, delegation of responsibilities, and ongoing communication. Heads up: When your helper cancels or quits, this cardholder is not necessarily the one who drops everything. Rather, engage in Fair Play immediately to re-deal the applicable cards, for example, “transportation (kids)” and “watching.”",Childcare Helpers (DG),"• Discussing with stakeholders what is needed for the home at this stage of life
• Sourcing if not family (care.com/websites/word of mouth/emails/FB posts/agency)
• Transportation concerns: car seats, boosters, etc.
• Interviewing (scheduling, conducting, reference checking)
• Scheduling days they will be working
• Planning terms including payment – hourly vs. salary, on or off the books, determining payment vehicle/employer","• Hiring (negotiating terms/contract)
• Ongoing communication and supervision
• Making payments
• Purchasing/providing meals and snacks for helper
• Reimbursing: Gas, meals, and other reimbursements
• Termination issues","Will they show up when you need them, know what they are supposed to do and are paid on time?
Civic Engagement & Cultural Enrichment
Cleaning
Clothes & Accessories (Kids)
Death
Dental (Kids)
Diapering & Potty Training (Kids)",""
650c1dc889be6a2d006b3b57,Civic Engagement & Cultural Engagement,"Why do all your friends have tickets to the local production of Annie, and you didn’t even know about it? Maybe they had someone to CPE this card . . . and now you will, too. From your city council meetings to concerts to a lecture at the library, this cardholder will take it upon him or herself to research and plan for community events that enhance your family’s life experience. Check in with the “calendar keeper” before you purchase tickets to see your favorite redheaded orphan storm the stage.",CIVIC ENGAGEMENT & CULTURAL ENRICHMENT,"- Signing up for civic groups and voter registration drives- Researching opportunities (subscribing to local community, park, mall, bookstore, library events newsletters/emails/texts)- Discussing cultural interests as a family","- Attending meetings of homeowners association, city council, Neighborhood Watch etc.- Purchasing tickets and/or memberships and attending (performing arts, sporting events, concerts, speaker series, museums/art exhibits, movies, comedy shows)",Are your kids exposed to new events that enhance their regular life experiences?,""
650c1e8c0418007416cb6178,Cleaning,"The pancake batter that fell into the crack on the side of the oven? Last week? It’s still there. The pee all over the toilet seat because your toddler can’t aim? Still there. The trail of sand in your entryway post-playground? Still there. If you have someone to help deep clean your bathroom and kitchen—lucky you. It’s still your responsibility to manage the schedule, task list, payment, etc. Re-deal this card often, as it’s a biggie. Tip! Coordinate with the “home goods and supplies” cardholder so you have cleaning supplies in the house when you need them.",CLEANING,OUTSOURCED- Sourcing- Communicating with “home goods and supplies” cardholder for supplies- Scheduling- InterviewingINSOURCED- Communicating with “home goods and supplies” cardholder for supplies,- Hiring- Ongoing communication and supervision- Making payments- Reimbursing to purchase suppliesDAILY/WEEKLY- Bed making- Counter-top cleaning- Vacuuming floors/carpets/couches- Bathroom toilet bowl cleaning/bathroom floor mopping- Bathtub/shower tile and glassOCCASIONAL- Carpets/floor- Drapes- Dusting- Toys- Window washing- Defrosting refrigerator/freezer- Outdoor grill/barbecue/furniture- Upholstery,Will our home be reasonably clean and safe for our family?,""
650c1f8954eb6b7af4bd29e8,Clothes & Accessories (Kids),"News flash: Your kids’ shoes and clothes—in sizes that fit— don’t magically show up in their closets. Someone needs to CPE what clothes and accessories to buy, get to the appropriate stores, clean out drawers periodically, and hand off used and outgrown clothes to the “tidying up, organizing, and donations” cardholder. Suggested timeline: If your child’s feet have blisters, you’ve probably waited too long to buy new shoes. Exception: If there is a camp or school one-off clothing need (see Case of the Color War), this responsibility stays with the “school breaks (summer)” or “homework” cardholder.",CLOTHES & ACCESSORIES (KIDS),"- Sorting through child's current wardrobe- Determining which clothes still fit and which they have outgrown- Creating a list of clothing needs whether it be seasonal or by occasion or age (e.g., bras)- Evaluating underwear, socks, shoes, and accessories- Arranging for try-on time- Coordinating with “returns and store credits” cardholder if needed Exception: clothes for special school days responsibility of “homework, projects, and school supplies” cardholder",- Donating or passing on those items they have outgrown to other children- Shopping for items in store or online,Are there appropriate seasonal clothes that are available to the children when they need them? (i.e. winter coat available before the snow comes),""
650c20cbdf621cf245a1f3e7,Death,"As if the loss of a loved one isn’t unbearable enough, there are also many important items of business requiring your time, including arranging a funeral, a shiva or other spiritual or religious rituals, and then acknowledging those who paid their respects. If handling any will or estate issues and packing up your loved one’s home and belongings are your responsibilities, prepare to be holding this card for quite some time.","The Wild suit includes life-changing scenarios that rock your world, and come with a mind-numbing amount of invisible work. When you’re dealt a Wild card (hopefully temporarily), you’re entitled to ask for additional help from your partner guilt-free. Your partner is encouraged to reach out to your village for even more support, but the Wild cardholder is not the one who handles this delegation. You and your partner are also encouraged to remove cards from your deck, temporarily, while dealing with a Wild card.","","",Do you feel supported to take the lead on this wildcard? Will your partner be stepping up to take on other cards?,""
650c2588fe10c1c92c4bc875,Dental (Kids),"Your kid’s job: Pick out a rubber band color for his braces. Your job: Carve out a boatload of time for orthodontist appointments and pay for it all, too. Regular dental visits will also keep you plenty busy because each child needs regular cleanings and checkups (it’s been six months already?) along with more time-consuming appointments for getting cavities filled. You get a free toothbrush at the end of each visit, so at least there’s that.",DENTAL (KIDS),- Researching and selecting dentist- Scheduling bi-annual dental cleanings- Informing “bedtime routine” cardholder about appropriate daily dental hygiene- Checking on toothbrush and toothpaste for when to replace and informing “home goods and supplies” cardholder- Orthodontist visits if applicable,"- Attending dentist appointments- Following up with specialists like orthodontists- At-home orthodontic care (purchase and application of rubber bands, head gear etc.)",Are your children at the dentist with a protocol of every six-month visit and do you follow up on the dentists advice?,""
650c260ba5ab0a5ba0c76227,Diapering & Potty Training (Kids),"Let’s be clear: This cardholder will not be the only one changing diapers. Expect to re-deal this card often. While you are the lead, you will, however, be the one responsible for maintaining inventory, including ordering new diapers or washing cloth ones, and getting the soiled ones out of your house ASAP. This cardholder will also oversee potty training your kids, including cleaning up the mistakes along the way. When you’re finally a diaper-free home, you may still find yourself wiping the butt of your first grader, who is perfectly capable of doing it on his or her own. This will end one day—promise.",DIAPERING & POTTY TRAINING (DG),"- Determining diapering options (disposable brands or cloth)- Taking inventory of diaper bags (wipes, diapers, creams, changing pad, pacifiers, extra change of clothes, loveys, toys, books, etc.)- Researching, consulting with partner regarding training plan- Informing and enlisting teachers and childcare helpers in potty-training plan",- Purchasing appropriately sized diapers/wipes as baby grows (or coordinating with “Home Goods and Supplies” cardholder)- Stocking diaper bags- Overseeing implementation for potty training,It should be dealt with proactively so are you in a rash-free smell-free home? (i.e are the crystals falling out? WTF are those things?),""
650c27184a6df3b2ed7dc848,Discipline & Screen Time (Kids),"While it’s no fun to discipline kids, the Magic is in setting critical boundaries and giving them tools that will impact how safe they feel and how they conduct themselves for a lifetime. The goal is not for one parent to be responsible for discipline while the other holds “fun! and playing” forever. That’s why this card requires ongoing collaboration between partners, with one cardholder at a time taking the lead. For example, screen time. This came up as the most discussed disciplinary issue within families. It’s a biggie, and if you hold this card, you may conduct research about an appropriate amount of screen time for your kids and consult with your partner about reasonable boundaries along with the parameters for taking it away; then you’ll each enforce your family’s rules and consequences on an ongoing basis.",DISCIPLINE & SCREEN TIME (DG),"- Researching appropriate discipline for different life stages- Devising a strategy to recommend to your spouse- Setting up parental controls, negotiating what games/sites your kid can visit, downloading one of those apps that turns the Wi-Fi off on your child’s device after a certain number of minutes- Informing childcare helpers of limits as needed- Updating plan as needed",- Informing child and enforcing limits,Are you guiding your children to know right from wrong and the consequences of their actions? What is appropriate for them to watch and for how long?,""
650c3f780df37cda414e1853,Dishes,It’s no wonder so many articles about domestic labor begin and end with dishes—the metaphorical third rail of chores. This cardholder is responsible for washing and drying by hand and/or loading and unloading the dishwasher—for every meal. The upside? Your partner doesn’t get to criticize how you put the plates in the “wrong” way. Re-deal this card often to avoid thrown dishes.,DISHES (DG),- Paying special care to specialty items like non-stick and cast-iron items,- Washing and drying dishes and pots and pans (by hand) and/or loading and unloading dishwasher- Putting dishes away in proper location,Are the dishes appropriately handled? Clean dry and put away on a regular basis? (i.e pans hand washed if needed),""
650c3fdbcd23987ef03695ba,Dry Cleaning,"Even something as seemingly straightforward as dry cleaning requires step-by-step CPE. This card entails having a bin/bag at home, ensuring the appropriate clothes get into that bin/bag, finding a dry cleaner, knowing when it’s open so you can coordinate drop-off and pickup, and taking off the plastic wrapping before hanging clothes back in the closet. If the mutually agreed-upon MSC is that all clothes come back home, this cardholder is responsible for tracking down their spouse’s favorite shirt when it goes missing or negotiating a refund. (And maybe finding a new dry cleaner, too.)",DRY CLEANING,"- Researching appropriate dry cleaner for pricing, location and hours- Setting up account at dry cleaner for payment- Scheduling pick-up/drop-off or physical pick-up and drop-off in store- Taking inventory of pieces dropped off",- Purchasing dry-cleaning bin/or bag and making sure appropriate clothes are in the bin- Tagging pants/shirts with stains- Ensuring matching pieces picked up- Taking off plastic wrapping and placing clothes in closet,Are your dry-cleaned clothes ready and clean when you need them?,""
650c40739e73f699c8712e60,Electronics & IT,"When your cell phone screen shatters, who ya gonna call? This cardholder! When your Wi-Fi isn’t working or your DVR is full, who ya gonna call? This cardholder! You need not work at the cable company or have tech know-how, but you do need to have ample time and patience to CPE this card, especially when you have to wait six hours for the cable guy. New cords, chargers, and ink cartridges? Also you. Waiting in line to get your kid his first phone? Still you.",ELECTRONICS & IT,"- Researching appropriate electronics such as: TV, laptops/computers, tablets/e-readers, video game systems/VR, headphones, surround sound speakers, cell phones, smartwatches, home theater/audio, chargers/cords, home phones- Researching and arranging for installation of Wi-Fi- Researching password managers","- Purchasing electronics- Installation management of electronics and cable TV/satellite/boxed TV- Electronics troubleshooting and software updating- Managing subscriptions (including log in information to various vendors such as cable/satellite TV, boxed TV, subscription television and streaming services)- Deleting/managing DVR shows for space storage- Wi-Fi/router maintenance and troubleshooting- Saving data (USB/cloud storage)",Is everything up to do date as needed and working when you need it to be?,""
650c4206bc5be5119b6a14b9,Estate Planning & Life Insurance,"Who will take care of your kids if something catastrophic happens to you and your partner? Of course both partners will plan together as you think about long-term security for your family and life-and-death medical decisions, but ultimately this cardholder is responsible for making sure the job gets done so you can all sleep at night knowing there’s a worst-case scenario plan (and insurance funds) in place.",ESTATE PLANNING & LIFE INSURANCE,"- Researching attorney/insurance agent or online service- Selecting and informing childcare custodian- Researching appropriate life insurance (term, whole life, etc.)- Researching appropriate disability insurance","- Meeting with attorney to set plan or fill out forms online regarding will/trust, power of attorney, healthcare directive, guardianship designation- Purchasing insurance policy",Does the plan reflect your current family circumstances and is it legally binding and effective?,""
650c4326bf91fdbde7cbe731,Extended Family,"Someone’s got to remember to call Great-Aunt Mary on her ninetieth birthday. Same goes for scheduling playdates with cousins if you want the kids to have a relationship (even if you’re the one who always ends up doing the two-hour roundtrip drive). Depending on how much you and your partner value this card, this CPEer might plan frequent get-togethers with relatives or just be the one to remember to invite Uncle Norman to Thanksgiving dinner knowing full well he’ll have one too many drinks and talk politics all night.",EXTENDED FAMILY,"- Staying apprised of health, financial concerns and lives of extended family- Deciding whom to see and planning dates/scheduling family dinners, visits, and reunions","- Key milestone/time of year/illness calls and correspondence: birthday, holidays, graduations, illness/hospital visits, etc.- Implementing extended family plans",Is there a quality relationship with your extended family?,""
650c43e9e162b663507d837d,Extra-Curricular (Non-Sports),"Let’s say your daughter begs to be in the school play—with rehearsals on the same days that she already has Girl Scouts. This cardholder must sleuth out what the extracurricular commitment entails and how to juggle it within the context of the family calendar. Note! This card pairs with the “transportation (kids)” and “packing (local)” cards. Meaning, if you register your daughter for Girl Scouts and also sign her up for the school play, you are responsible for coordinating how she will get to and from both events with both her costume and cookies in hand.",EXTRA-CURRICULAR (NON-SPORTS) (DG),"Determining child's desired activities- Researching all activity options (0-2: baby music, gymnastics, and play groups; 2 and up: variety of options)- Surveying child's friends to see if child can participate with friends (in consult with “friendship” cardholder)- Determining practice schedules if applicable- Managing at home practice and preparation and/or arranging for additional support/coaching (consult with “tutoring/coaching” cardholder)- Reviewing schedule and consulting with “calendar keeper”, “transportation (kids)”, “tutoring and coaching”, and “showing up and participating” cardholders- Arranging for transportation","- Signing up and registering for activities- Purchasing/storing/updating items for activity- Packing necessary items in bag for practice (including water bottle and snacks)- Volunteering when necessary (snack sign-up, work backstage, etc.)","Are you fostering your goals for your children which may include friendship, life skills, healthy competition, coordination, and brain development? Is it consistent enough for your kid to be enriched by the experience (meaningful exposure) and are they demonstrating improvement?",""
6517f00b5f56cd1fad0bbec4,Extra-Curricular (Sports),"If you think this card means just showing up on the right field at the right time to cheer on your kid, you couldn’t be more wrong. While the Execution can be rewarding when you’re there to watch your child hit a home run, the Conception and Planning are more tedious and require tremendous forethought. What are the equipment needs? What’s the game schedule? And when do you have to provide the team snack? Note! This card also pairs with the “transportation (kids)” and “packing (local)” cards. Not only are you responsible for making sure the mitt is in the bag, but you’re also on the hook for coordinating how your kid will get to the field on time.",EXTRA-CURRICULAR (SPORTS) (DG),"- Determining child's desired activities- Researching all sports options (school, gyms and/or community leagues)- Surveying child's friends to see if child can play with friends (in consult with “friendship” cardholder)- Determining practice and game schedules- Managing at-home practice and preparation and/or arranging for additional support/coaching (consult with “tutoring/coaching” cardholder)- Researching equipment needs- Arranging for transportation to practices and games","- Signing up and registering for the sports lesson/team- Purchasing/storing/laundering/updating necessary uniforms/equipment/cleats- Packing necessary items in bag for practice and games (including uniform, water bottle and snacks)- Volunteering when necessary (snack sign-up, end-of-season party, etc.)","Are you fostering your goals for your children which may include friendship, life skills, healthy competition, coordination, and brain development? Is it consistent enough for your kid to be enriched by the experience (meaningful exposure) and are they demonstrating improvement?",""
6517f06d111b6b19209bee3f,First Year of Infant's Life,"Unsettled hormones, sleep deprivation, and a ravaged body are enough to make this a Wild card, not to mention that your time has all but disappeared. The days of having even a consecutive two-hour stretch of time to be productive are a vague memory as you drown in nursing/feeding, diaper changing, comforting your baby around the clock, and an innumerable amount of other to-dos all courtesy of your bundle of joy. Make no mistake: The first year of an infant’s life is not only a “Mom thing.” There’s plenty for Dad to do, too. While you’re trying to survive another day, let him dig into the Daily Grind cards: “laundry,” “dishes,” “garbage,” “groceries,” and taking the lead on “meals (weekday dinner).”","The Wild suit includes life-changing scenarios that rock your world, and come with a mind-numbing amount of invisible work. When you’re dealt a Wild card (hopefully temporarily), you’re entitled to ask for additional help from your partner guilt-free. Your partner is encouraged to reach out to your village for even more support, but the Wild cardholder is not the one who handles this delegation. You and your partner are also encouraged to remove cards from your deck, temporarily, while dealing with a Wild card.","","",Do you feel supported to take the lead on this wildcard? Will your partner be stepping up to take on other cards?,""
6517f10fdb120e01240deb1f,"First-Aid, Safety & Emergency","Before bringing home baby from the hospital, this cardholder has installed the infant car seat (yep, it’s a pain, but it’s the law). Before a major storm hits, this cardholder will stock up on batteries, bottled water, and other basics. Does your family have an emergency plan for a time when phones may not work and you need to leave the house for a safer place? Working flashlights, candles, and matches for when the power is out? Needless to say, this card is a big one and should be taken seriously.","FIRST-AID, SAFETY & EMERGENCY","- Developing emergency list/plan to include contacts, medical directions, home shut off systems etc.- Researching car seats","- Creating first-aid kit and other supplies, such as extra food/flashlights, etc. for home and car- Earthquake proofing/childproofing home- Purchasing and installing car seats",Are you sufficiently prepared?,""
6517f1683a076c5a0d7393e6,Friendships & Social Media (Kids),"Do you know who your kids are playing with IRL and online? Unless your children come home from school in tears confiding in you, how would you know if they’re hanging with the wrong crowd, feeling left out, or being bullied? Make it your business to plug in (get it?) to your kids’ social dynamics online and also help plan and supervise playdates, sleepovers, and any other kid get-togethers.",FRIENDSHIPS & SOCIAL MEDIA (KIDS) (DG),"- Friendship detective questions (evaluating child’s social situation to see if they are making connections with others, that is, asking appropriate questions of child: who they play with at recess, who they sit with at lunch etc., is anyone bullying them at school, are they confident in who they are spending their time with)- Discussing friend situation with child at start of school year and working with “teacher communication” cardholder on any issues- Planning and scheduling sleepovers, outings, play dates with friends","- Carrying out sleepovers, outings, play dates with friends- Monitoring and regulating social media accounts in coordination with “discipline and screen” time cardholder",Are they appropriately socialized in real life? Do you feel in control of their social media?,""
6517f1c5c73227f7a9da6027,Fun & Playing (Kids),"Maybe you’ve forgotten that parenting is fun! So fun that after you take your kids to the indoor water park they begged you to take them to, your ensuing urinary tract infection feels totally worth it. Seriously, childhood should include interactive playful moments as a family on a regular basis, and those moments and memories are, in fact, magical (UTI notwithstanding). This cardholder will CPE ongoing time for fun, such as arranging to throw a football around in the park at twilight, creating a weekly family game night, or any other activities your kids enjoy. Holding this card can be a blast, so be sure to hand it back and forth regularly with your partner and spread the fun around.",FUN! & PLAYING,"- Planning consistent opportunities for family fun: game nights, reading together, playing sports, hiking, races, biking, running, building forts/blocks/Legos, playgrounds, amusement parks, magic, kites, science, tinkering, fun runs, dances, baking, special projects, etc.",- Executing consistent opportunities for family fun,Has your family shared some interactive playful moments recently?,""
6517f20e7f7f9283d1ca729f,Garbage,"Really, how much darn trash can one family create? Staggering. To CPE this card means, at minimum, you take out the trash before the garbage truck turns the corner of your block (which day is it again?). Whoever holds this card is responsible for anticipating when trash bags are running low, and a word to the wise: Don’t you dare sit back down on the couch until you put a new bag back in the trash can!",GARBAGE (DG),ALL NON-APARTMENT DWELLERS- Applying to the city/municipality for garbage bins- Taking note of garbage day,"- Placing/replacing bag in home trash can- Removing full garbage bags- Placing full garbage bags in trash shoot/outdoor bins- Labeling bins- Taking bins back out/in, driving to town dump/placing garbage in alley- Checking bins for overflow trash/keeping bins clean",Is trash out of your home before it overflows and if applicable did the cans go out before trash day?,""
6517f25309d569f85231d35f,Gestures of Love (Kids),"You know that mom who leaves handwritten notes in her kid’s lunch box that read “I love you to the moon and back”? Or the dad who drops by basketball practice for a quick hug? With some thought, time, and effort—some CPE, if you will—that parent could be you, making every day a little more special for everyone. Note! You’re both equally capable of having the forethought and spending the time to buy a bouquet of flowers before your child’s dance recital, but trust me on this—even gestures of love benefit from one person taking the lead. To ensure that the gesture isn’t missed or forgotten, assign one person to pick up flowers for the recital this week, and then re-deal to assign a lead next week.",GESTURES OF LOVE (KIDS),"- Creating plan for appropriate gestures - May include: flowers for recitals, notes on mirrors/lunch boxes, family hugs, surprise pick-up, etc.","",Would your kid report random acts of kindness from you if asked? (i.e. flowers at their recital),""
